time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-05-02T07:57:58.857Z,30.4709,103.1619,10,4.7,mb,,34,5.475,0.62,us,us70003fk8,2019-05-22T08:24:31.040Z,"29km WNW of Linqiong, China",earthquake,8.1,1.9,0.055,102,reviewed,us,us
2019-05-02T10:44:42.471Z,24.4715,121.9822,35,6.5,mb,,115,0.461,1.25,us,us70003fmk,2019-05-02T12:43:55.356Z,"19km SE of Su'ao, Taiwan",earthquake,4.3,2,0.062,77,reviewed,us,us
2019-05-02T11:12:00.954Z,46.4567,115.2289,10,4.6,mb,,97,4.141,1.39,us,us70003fmv,2019-05-07T13:18:48.040Z,"55km S of Dzuunbulag, Mongolia",earthquake,5.7,1.9,0.052,111,reviewed,us,us
2019-05-03T08:15:28.148Z,32.0259,138.0357,395.98,4.1,mb,,89,1.834,0.83,us,us70003g5u,2019-05-23T06:30:18.040Z,"202km SW of Hachijo-jima, Japan",earthquake,10.3,8.7,0.111,22,reviewed,us,us
2019-05-04T11:51:23.787Z,21.68,119.7859,27.16,4.5,mb,,99,1.649,0.61,us,us70003gmc,2019-05-04T12:23:59.040Z,"105km WSW of Hengchun, Taiwan",earthquake,7.9,5.6,0.082,44,reviewed,us,us
2019-05-06T02:44:11.900Z,31.1227,139.9972,92.25,4.4,mb,,204,1.992,0.82,us,us70003ll5,2019-05-16T02:15:20.040Z,"218km S of Hachijo-jima, Japan",earthquake,14.9,10.7,0.109,24,reviewed,us,us
2019-05-06T17:56:03.896Z,26.2457,129.5528,10,4.7,mb,,169,1.288,0.81,us,us70003hl3,2019-05-22T19:31:06.040Z,"161km ESE of Nago, Japan",earthquake,5.7,1.8,0.072,58,reviewed,us,us
2019-05-08T15:48:46.877Z,24.8613,122.4559,127.28,4.4,mb,,46,0.639,0.94,us,us70003id4,2019-05-20T01:19:44.040Z,"67km ENE of Su'ao, Taiwan",earthquake,5.6,4.4,0.064,70,reviewed,us,us
2019-05-08T16:32:12.587Z,27.1438,126.7531,89.84,4.4,mb,,130,1.39,0.66,us,us70003ifh,2019-05-20T02:53:39.040Z,"132km NW of Ishikawa, Japan",earthquake,7.2,12.4,0.111,23,reviewed,us,us
2019-05-09T22:43:22.960Z,31.7987,131.8702,22,5.7,mww,,24,1.566,0.72,us,us70003j3g,2019-05-13T03:47:53.180Z,"44km ESE of Miyazaki-shi, Japan",earthquake,5.8,1.7,0.046,46,reviewed,us,us
2019-05-09T23:48:42.764Z,31.7719,131.8503,22,6.1,mww,,17,1.58,0.67,us,us70003j46,2019-05-20T02:15:49.324Z,"43km ESE of Miyazaki-shi, Japan",earthquake,5,1.8,0.058,29,reviewed,us,us
2019-05-10T00:07:38.432Z,31.6825,131.7928,35,5.1,mb,,59,1.633,0.65,us,us70003j4s,2019-05-10T04:09:24.544Z,"41km ENE of Nichinan, Japan",earthquake,6.3,1.9,0.031,336,reviewed,us,us
2019-05-10T04:53:47.580Z,31.3957,131.7856,10,4.6,mb,,117,1.888,1.27,us,us70003j6g,2019-05-10T05:34:04.861Z,"45km ESE of Nichinan, Japan",earthquake,7.9,1.9,0.074,54,reviewed,us,us
2019-05-10T11:40:36.397Z,31.756,131.8657,35.27,4.9,mb,,71,1.6,1.07,us,us70003j8n,2019-05-10T12:02:25.040Z,"45km ESE of Miyazaki-shi, Japan",earthquake,6.2,6.7,0.039,209,reviewed,us,us
2019-05-10T23:59:41.052Z,32.6987,132.3236,35,4.9,mww,,36,1.289,0.77,us,us70003jl5,2019-05-11T10:15:26.989Z,"46km SW of Sukumo, Japan",earthquake,6,1.9,0.073,18,reviewed,us,us
2019-05-11T21:55:28.497Z,39.9834,100.2935,10,4.2,mb,,52,8.996,0.74,us,us70003jwh,2019-05-24T02:07:16.040Z,"117km N of Zhangye, China",earthquake,3.4,1.9,0.08,43,reviewed,us,us
2019-05-12T06:07:45.377Z,32.7046,132.3158,36.34,4.7,mb,,101,1.281,0.48,us,us70003jzi,2019-05-12T11:28:35.739Z,"46km WSW of Sukumo, Japan",earthquake,7.6,8.8,0.092,36,reviewed,us,us
2019-05-13T08:55:21.227Z,24.7337,122.0092,93.46,6.4,mb,,58,0.522,0.69,us,us70003kai,2019-05-20T08:52:15.040Z,"21km NE of Su'ao, Taiwan",earthquake,5.3,6.3,0.055,96,reviewed,us,us
2019-05-15T05:24:32.952Z,29.7257,130.6783,35,6.4,mb,,37,3.393,1.55,us,us70003ld5,2019-05-16T13:55:40.675Z,"115km SSW of Nishinoomote, Japan",earthquake,6.7,1.9,0.026,510,reviewed,us,us
2019-05-15T08:32:05.002Z,32.2975,137.5062,423.45,4.2,mb,,74,2.109,0.71,us,us70003let,2019-05-15T12:12:30.040Z,"213km SE of Shingu, Japan",earthquake,11.1,13.6,0.124,18,reviewed,us,us
2019-05-15T08:54:39.948Z,25.6984,125.6949,101.82,4.6,mb,,83,2.576,1.08,us,us70003lf8,2019-05-15T12:07:24.040Z,"107km NNE of Hirara, Japan",earthquake,5.2,9.6,0.05,118,reviewed,us,us
2019-05-15T20:33:37.450Z,28.1554,103.6621,37.67,4.8,mb,,30,7.776,0.64,us,usd0009i8f,2019-05-15T22:12:55.798Z,"9km ESE of Xiluodu, China",earthquake,7.3,6.3,0.054,107,reviewed,us,us
