        BT    Band20    Band21    Band22    Band23    Band24    Band25    Band26    Band27    Band28    Band29    Band31    Band32    Band33    Band34    Band35    Band36
     180.0   0.00011   0.00023   0.00022   0.00031   0.00109   0.00136   0.06422   0.10613   0.22874   0.52015   0.61698   0.61698   0.70752   0.72323   0.73344   0.74410
     180.1   0.00011   0.00023   0.00023   0.00031   0.00110   0.00137   0.06464   0.10677   0.22993   0.52225   0.61926   0.61926   0.70988   0.72559   0.73579   0.74644
     180.2   0.00011   0.00024   0.00023   0.00032   0.00111   0.00138   0.06507   0.10741   0.23112   0.52435   0.62154   0.62154   0.71224   0.72795   0.73814   0.74878
     180.3   0.00012   0.00024   0.00023   0.00032   0.00112   0.00140   0.06549   0.10806   0.23232   0.52646   0.62383   0.62383   0.71461   0.73031   0.74050   0.75112
     180.4   0.00012   0.00024   0.00023   0.00032   0.00113   0.00141   0.06592   0.10871   0.23352   0.52858   0.62613   0.62613   0.71699   0.73268   0.74286   0.75347
     180.5   0.00012   0.00024   0.00024   0.00033   0.00114   0.00143   0.06635   0.10936   0.23472   0.53070   0.62843   0.62843   0.71937   0.73506   0.74523   0.75583
     180.6   0.00012   0.00025   0.00024   0.00033   0.00115   0.00144   0.06678   0.11002   0.23594   0.53282   0.63074   0.63074   0.72175   0.73744   0.74760   0.75819
     180.7   0.00012   0.00025   0.00024   0.00034   0.00117   0.00145   0.06721   0.11068   0.23715   0.53496   0.63306   0.63306   0.72414   0.73983   0.74998   0.76055
     180.8   0.00012   0.00025   0.00024   0.00034   0.00118   0.00147   0.06765   0.11134   0.23837   0.53709   0.63538   0.63538   0.72654   0.74222   0.75236   0.76292
     180.9   0.00012   0.00026   0.00025   0.00034   0.00119   0.00148   0.06808   0.11201   0.23960   0.53924   0.63770   0.63770   0.72894   0.74462   0.75475   0.76529
     181.0   0.00012   0.00026   0.00025   0.00035   0.00120   0.00150   0.06853   0.11268   0.24083   0.54139   0.64004   0.64004   0.73135   0.74702   0.75715   0.76767
     181.1   0.00013   0.00026   0.00025   0.00035   0.00121   0.00151   0.06897   0.11335   0.24206   0.54355   0.64238   0.64238   0.73376   0.74942   0.75954   0.77005
     181.2   0.00013   0.00026   0.00025   0.00035   0.00122   0.00153   0.06941   0.11402   0.24330   0.54571   0.64472   0.64472   0.73618   0.75184   0.76195   0.77244
