        BT    Band20    Band21    Band22    Band23    Band24    Band25    Band27    Band28    Band29    Band31    Band32    Band33    Band34    Band35    Band36
     180.0   0.00011   0.00024   0.00022   0.00031   0.00117   0.00143   0.06334   0.10556   0.22565   0.51930   0.61615   0.70754   0.72313   0.73294   0.74344
     180.1   0.00012   0.00024   0.00023   0.00031   0.00118   0.00144   0.06376   0.10620   0.22683   0.52140   0.61843   0.70990   0.72549   0.73529   0.74578
     180.2   0.00012   0.00025   0.00023   0.00031   0.00119   0.00146   0.06417   0.10684   0.22801   0.52350   0.62071   0.71226   0.72785   0.73765   0.74812
     180.3   0.00012   0.00025   0.00023   0.00032   0.00120   0.00147   0.06459   0.10748   0.22919   0.52560   0.62300   0.71463   0.73022   0.74001   0.75046
     180.4   0.00012   0.00025   0.00023   0.00032   0.00121   0.00149   0.06501   0.10813   0.23038   0.52772   0.62530   0.71701   0.73259   0.74237   0.75281
     180.5   0.00012   0.00025   0.00024   0.00032   0.00123   0.00150   0.06544   0.10878   0.23157   0.52983   0.62760   0.71939   0.73496   0.74474   0.75517
     180.6   0.00012   0.00026   0.00024   0.00033   0.00124   0.00152   0.06586   0.10943   0.23277   0.53196   0.62991   0.72177   0.73735   0.74711   0.75753
     180.7   0.00012   0.00026   0.00024   0.00033   0.00125   0.00153   0.06629   0.11009   0.23397   0.53409   0.63222   0.72416   0.73973   0.74949   0.75990
     180.8   0.00013   0.00026   0.00024   0.00033   0.00126   0.00155   0.06672   0.11075   0.23518   0.53623   0.63454   0.72656   0.74212   0.75188   0.76226
     180.9   0.00013   0.00027   0.00025   0.00034   0.00128   0.00156   0.06715   0.11141   0.23639   0.53837   0.63687   0.72896   0.74452   0.75426   0.76464
     181.0   0.00013   0.00027   0.00025   0.00034   0.00129   0.00158   0.06759   0.11208   0.23761   0.54052   0.63920   0.73137   0.74692   0.75666   0.76702
     181.1   0.00013   0.00027   0.00025   0.00034   0.00130   0.00159   0.06803   0.11275   0.23884   0.54268   0.64154   0.73378   0.74933   0.75906   0.76940
     181.2   0.00013   0.00027   0.00026   0.00035   0.00131   0.00161   0.06847   0.11342   0.24006   0.54484   0.64388   0.73620   0.75174   0.76146   0.77179
     181.3   0.00013   0.00028   0.00026   0.00035   0.00133   0.00162   0.06891   0.11409   0.24130   0.54701   0.64623   0.73862   0.75416   0.76387   0.77419
     181.4   0.00014   0.00028   0.00026   0.00036   0.00134   0.00164   0.06935   0.11477   0.24253   0.54918   0.64858   0.74105   0.75658   0.76628   0.77658
     181.5   0.00014   0.00028   0.00026   0.00036   0.00135   0.00165   0.06980   0.11546   0.24378   0.55136   0.65095   0.74348   0.75901   0.76870   0.77899
     181.6   0.00014   0.00029   0.00027   0.00036   0.00137   0.00167   0.07025   0.11614   0.24502   0.55355   0.65331   0.74592   0.76144   0.77113   0.78139
     181.7   0.00014   0.00029   0.00027   0.00037   0.00138   0.00169   0.07070   0.11683   0.24628   0.55574   0.65569   0.74836   0.76388   0.77355   0.78381
     181.8   0.00014   0.00029   0.00027   0.00037   0.00139   0.00170   0.07116   0.11752   0.24753   0.55794   0.65807   0.75081   0.76632   0.77599   0.78623
     181.9   0.00014   0.00030   0.00028   0.00037   0.00141   0.00172   0.07161   0.11822   0.24880   0.56015   0.66045   0.75326   0.76877   0.77843   0.78865
     182.0   0.00014   0.00030   0.00028   0.00038   0.00142   0.00173   0.07207   0.11892   0.25007   0.56236   0.66284   0.75572   0.77122   0.78087   0.79108
     182.1   0.00015   0.00030   0.00028   0.00038   0.00143   0.00175   0.07253   0.11962   0.25134   0.56458   0.66524   0.75819   0.77368   0.78332   0.79351
     182.2   0.00015   0.00031   0.00028   0.00039   0.00145   0.00177   0.07300   0.12033   0.25262   0.56681   0.66764   0.76066   0.77614   0.78577   0.79594
     182.3   0.00015   0.00031   0.00029   0.00039   0.00146   0.00178   0.07347   0.12104   0.25390   0.56904   0.67005   0.76314   0.77861   0.78823   0.79839
     182.4   0.00015   0.00031   0.00029   0.00040   0.00148   0.00180   0.07393   0.12175   0.25519   0.57127   0.67247   0.76562   0.78108   0.79069   0.80083
     182.5   0.00015   0.00032   0.00029   0.00040   0.00149   0.00182   0.07441   0.12246   0.25648   0.57352   0.67489   0.76810   0.78356   0.79316   0.80328
     182.6   0.00015   0.00032   0.00030   0.00040   0.00150   0.00184   0.07488   0.12318   0.25778   0.57577   0.67732   0.77060   0.78605   0.79564   0.80574
     182.7   0.00016   0.00032   0.00030   0.00041   0.00152   0.00185   0.07536   0.12391   0.25908   0.57803   0.67975   0.77309   0.78853   0.79811   0.80820
     182.8   0.00016   0.00033   0.00030   0.00041   0.00153   0.00187   0.07583   0.12463   0.26039   0.58029   0.68219   0.77560   0.79103   0.80060   0.81067
     182.9   0.00016   0.00033   0.00031   0.00042   0.00155   0.00189   0.07632   0.12536   0.26170   0.58256   0.68464   0.77810   0.79353   0.80309   0.81314
     183.0   0.00016   0.00033   0.00031   0.00042   0.00156   0.00191   0.07680   0.12610   0.26302   0.58483   0.68709   0.78062   0.79603   0.80558   0.81561
     183.1   0.00016   0.00034   0.00031   0.00043   0.00158   0.00192   0.07729   0.12683   0.26435   0.58712   0.68955   0.78314   0.79854   0.80808   0.81809
     183.2   0.00017   0.00034   0.00032   0.00043   0.00159   0.00194   0.07778   0.12757   0.26568   0.58940   0.69201   0.78566   0.80106   0.81058   0.82058
     183.3   0.00017   0.00035   0.00032   0.00043   0.00161   0.00196   0.07827   0.12832   0.26701   0.59170   0.69448   0.78819   0.80358   0.81309   0.82307
     183.4   0.00017   0.00035   0.00032   0.00044   0.00162   0.00198   0.07876   0.12906   0.26835   0.59400   0.69696   0.79072   0.80610   0.81561   0.82557
     183.5   0.00017   0.00035   0.00033   0.00044   0.00164   0.00200   0.07926   0.12981   0.26970   0.59631   0.69944   0.79326   0.80863   0.81812   0.82807
     183.6   0.00017   0.00036   0.00033   0.00045   0.00166   0.00202   0.07976   0.13057   0.27105   0.59862   0.70193   0.79581   0.81117   0.82065   0.83057
     183.7   0.00018   0.00036   0.00033   0.00045   0.00167   0.00204   0.08026   0.13133   0.27240   0.60094   0.70443   0.79836   0.81371   0.82318   0.83308
     183.8   0.00018   0.00036   0.00034   0.00046   0.00169   0.00206   0.08076   0.13209   0.27376   0.60327   0.70693   0.80092   0.81626   0.82571   0.83559
     183.9   0.00018   0.00037   0.00034   0.00046   0.00170   0.00207   0.08127   0.13285   0.27513   0.60560   0.70944   0.80348   0.81881   0.82825   0.83811
     184.0   0.00018   0.00037   0.00035   0.00047   0.00172   0.00209   0.08178   0.13362   0.27650   0.60795   0.71195   0.80605   0.82136   0.83079   0.84064
     184.1   0.00018   0.00038   0.00035   0.00047   0.00174   0.00211   0.08229   0.13439   0.27788   0.61029   0.71447   0.80862   0.82393   0.83334   0.84317
     184.2   0.00019   0.00038   0.00035   0.00048   0.00175   0.00213   0.08281   0.13517   0.27926   0.61265   0.71700   0.81120   0.82649   0.83590   0.84570
     184.3   0.00019   0.00038   0.00036   0.00048   0.00177   0.00215   0.08333   0.13595   0.28065   0.61500   0.71953   0.81378   0.82906   0.83846   0.84824
     184.4   0.00019   0.00039   0.00036   0.00049   0.00179   0.00217   0.08385   0.13673   0.28204   0.61737   0.72207   0.81637   0.83164   0.84102   0.85078
     184.5   0.00019   0.00039   0.00036   0.00049   0.00180   0.00219   0.08437   0.13752   0.28344   0.61974   0.72461   0.81897   0.83422   0.84359   0.85333
     184.6   0.00019   0.00040   0.00037   0.00050   0.00182   0.00221   0.08489   0.13831   0.28485   0.62212   0.72716   0.82157   0.83681   0.84617   0.85589
     184.7   0.00020   0.00040   0.00037   0.00050   0.00184   0.00224   0.08542   0.13910   0.28625   0.62451   0.72972   0.82417   0.83941   0.84875   0.85845
     184.8   0.00020   0.00040   0.00038   0.00051   0.00186   0.00226   0.08595   0.13990   0.28767   0.62690   0.73228   0.82678   0.84200   0.85133   0.86101
     184.9   0.00020   0.00041   0.00038   0.00051   0.00187   0.00228   0.08649   0.14070   0.28909   0.62930   0.73485   0.82940   0.84461   0.85392   0.86358
     185.0   0.00020   0.00041   0.00038   0.00052   0.00189   0.00230   0.08702   0.14151   0.29052   0.63171   0.73743   0.83202   0.84722   0.85652   0.86615
     185.1   0.00020   0.00042   0.00039   0.00052   0.00191   0.00232   0.08756   0.14232   0.29195   0.63412   0.74001   0.83465   0.84983   0.85912   0.86873
     185.2   0.00021   0.00042   0.00039   0.00053   0.00193   0.00234   0.08811   0.14313   0.29338   0.63654   0.74260   0.83728   0.85245   0.86172   0.87131
     185.3   0.00021   0.00043   0.00040   0.00054   0.00194   0.00236   0.08865   0.14395   0.29483   0.63896   0.74519   0.83992   0.85508   0.86433   0.87390
     185.4   0.00021   0.00043   0.00040   0.00054   0.00196   0.00238   0.08920   0.14477   0.29627   0.64140   0.74779   0.84256   0.85771   0.86695   0.87649
     185.5   0.00021   0.00044   0.00040   0.00055   0.00198   0.00241   0.08975   0.14559   0.29773   0.64383   0.75040   0.84521   0.86034   0.86957   0.87909
